group,title,url,description,tags,priority,enabled
Home,QiStart,https://qiserver-1.cerberus-sirius.ts.net/,,,1,true
Home,HOMIES · Splitwise,https://secure.splitwise.com/#/groups/94649336,,,2,true
Start,Installation — SchemaSpy 6.0.0 documentation,https://schemaspy.readthedocs.io/en/latest/installation.html,,,3,true
Start,(9+) Projects y Tasks | Notion,https://www.notion.so/qially/Projects-y-Tasks-2d2f84a0440282cdbda88153f418c692,,,4,true
Start,(500) How to ADHD - YouTube,https://www.youtube.com/@HowtoADHD,,,5,true
Start,Podcast Recommendations: Top 25 ADHD Webinars & Podcast Episodes,https://www.additudemag.com/slideshows/adhd-podcast-recommendations/,,,6,true
Start,ADHD Blog | JotBud,https://jotbud.com/blog,,,7,true
Start,CHADD - Improving the lives of people affected by ADHD,https://chadd.org/,,,8,true
Start,"ADDitude - ADD & ADHD Symptom Tests, Signs, Treatment, Support",https://www.additudemag.com/,,,9,true
Start,Home - ADHD Foundation : ADHD Foundation,https://www.adhdfoundation.org.uk/,,,10,true
Start,Through My Eyes,https://www.understood.org/en/through-my-eyes#tme_header,,,11,true
Start,ADHD reWired,https://www.adhdrewired.com/,,,12,true
Start,Podcast — Hacking Your ADHD,https://www.hackingyouradhd.com/podcast,,,13,true
Start,"Emotional Dysregulation with ADHD: DESR Signs, Treatments",https://www.additudemag.com/webinar/emotional-dysregulation-adhd-desr-barkley-podcast-369/,,,14,true
Start,"Podcast 424: Time Blindness Help for Adults, Children with ADHD",https://www.additudemag.com/webinar/time-blindness-adhd-productivity-management/,,,15,true
Start,Wasting Time? Hyperfocusing? ADHD and Time Perception Problems,https://www.additudemag.com/wasting-time-adhd-and-time-perception/,,,16,true
Start,What Is Autism Spectrum Disorder? Signs & Symptoms,https://www.additudemag.com/category/adhd-add/related-conditions/autism-spectrum-disorder/,,,17,true
Start,Episode #404: There’s No Rush: Getting Out of Fight-or-Flight with Jenna Free - I Have ADHD,https://ihaveadhd.com/episode-404-theres-no-rush-getting-out-of-fight-or-flight-with-jenna-free/,,,18,true
Start,TurboScribe: Transcribe Audio and Video to Text,https://turboscribe.ai/,,,19,true
Start,Releases · will-be-done/will-be-done,https://github.com/will-be-done/will-be-done/releases,,,20,true
Creative,Sign in to Substack,https://substack.com/sign-in,,,21,true
Creative,Just a moment...,https://www.patreon.com/login?ru=%2Fcw%2FPatreonforCreators,,,22,true
Money,QuickBooks Online Login: Sign in to Access Your QuickBooks Account,https://accounts.intuit.com/app/sign-in?app_group=QBO&asset_alias=Intuit.accounting.core.qbowebapp&app_environment=prod,,,23,true
Money,Cash App,https://cash.app/account/activity,,,24,true
Money,Cash App,https://cash.app/app/CPHCQDD,,,25,true
Money,Login Page,https://pay.aronarents.com/login,,,26,true
Money,Connect to your bank - SimpleFIN Bridge,https://beta-bridge.simplefin.org/,,,27,true
Money,Open Knowledge Graphs,https://openknowledgegraphs.com/?tab=software&category=finance-business,,,28,true
Infra,Settings | Supabase,https://supabase.com/dashboard/project/leepylsfyoxuiltawnse/settings/api-keys,,,29,true
Infra,Squarespace Domains,https://account.squarespace.com/domains,,,30,true
Infra,Cloudflare Dashboard | Manage Your Account,https://dash.cloudflare.com/6c0d95a612e676663f8c1461a6c88bad/workers-and-pages,,,31,true
Infra,Dashboard - QiArchive-ngx,https://paperless-ngx-production-feda.up.railway.app/dashboard,,,32,true
Infra,Your Repositories,https://github.com/qiallyme?tab=repositories,,,33,true
Infra,MCP Servers,https://mcp.so/servers?page=2,,,34,true
Infra,"Installation | ezBookkeeping - a open source, lightweight, self-hosted personal finance app",https://ezbookkeeping.mayswind.net/installation/,,,35,true
Infra,wiki | Folders | Assets (DAM) | Cloudinary,https://console.cloudinary.com/app/c-30c908fc28347b9fffec35d6b39d6b/assets/media_library/folders/cf05582dcf09134a6d7a49dbe43f998b74?view_mode=mosaic,,,36,true
Infra,Vite + React + TS,https://journal.qially.com/,,,37,true
Infra,General | Homebox,https://homebox.software/en/quick-start/configure/,,,38,true
Infra,MyChart - Login Page,https://www.viewmychart.com/mychart/Authentication/Login,,,39,true
Legal,Pro-Se Litigation Archives - ProAdvocate Group PMA,https://www.proadvocate.org/category/pro-se-litigation/,,,40,true
Legal,"4-018222 - Circuit and Superior Courts of Marion County, Indiana",https://marioncounty-in.trxchange.net/index.php?route=account/order/info&order_id=61325,,,41,true
Legal,Self Representation AI - Represent Yourself in Court | Litigation Operating System,https://selfrepresentationai.com/cases/2,,,42,true
Legal,complaint.mycreditunion.gov,https://complaint.mycreditunion.gov/Complaint/createcasev2,,,43,true
Legal,qiallyme/Case_FCFCU,https://github.com/qiallyme/Case_FCFCU,,,44,true
Legal,ProSeAI - Firebase Studio,https://studio.firebase.google.com/studio-2548334848,,,45,true
Legal,Sign Up | OpenEvidence,https://auth.openevidence.com/u/signup/identifier?state=hKFo2SBpMkVqQks0U2k4T0prNFRRaXRZZExHWWpac3ltcU9vdqFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIDVhR1hINVBXeW5LQ2M5REt0dE9iOE1OZ0lxQUZKMGt6o2NpZNkgYkFTZEZ6Z01rQ2s4czlvN0p2TFVzY29zUEFwRFFidnk,,,46,true
Legal,"Experian: Credit Report, FICO® Score & Financial Tools",https://www.experian.com/,,,47,true
Legal,Per Diem Calculator 2026 | Calculate Per Diem Allowance - Zoho Expense,https://www.zoho.com/us/expense/per-diem-calculator/?src=expense-header,,,48,true
Legal,Cody Home Center | Start Here,https://qios-v1-sites-cody-home-center.pages.dev/,,,49,true
Legal,Qi Cockpit | Command Surface,https://cockpit-qially-me.pages.dev/,,,50,true
