legacy_rel_path,size_bytes,word_count,raw_sha256,normalized_sha256,exact_raw_match,exact_normalized_match,best_exact_match_paths,shingle_count,shingle_coverage,heading_count,heading_coverage,uncovered_block_count,verdict,notes
10_Qispark/10_QiOS/20_Rules-and-standards/1.40_RAG/_1.40_RAG.md,343,0,007ea9d92fd7ef90308be6f2ae9706e113bddfcc8d3546b9361f0cbbf3bdccd1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,reference/_index.md; sources/_index.md; sources/legacy_monoliths/_index.md,0,1.0,0,1.0,0,EXACT_NORMALIZED_MATCH,Content matches after normalization.
10_Qispark/10_QiOS/20_Rules-and-standards/1.40_RAG/_index.md,604,23,67966a83696ece90c9148f4cd6adbe90f54c811e974f69d940074d0d61c4e150,985bffc9189aaddc6d31c6e320fd4ba98f7b4efb49c09cd0e55d869244e9eb9d,False,False,,17,0.0,2,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/1.40_RAG/bots/_bots.md,339,0,9ed0f076c741ee31ded6af713a4f4095aa8c990ac26b76b2655deeeb9ebf4fa9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,reference/_index.md; sources/_index.md; sources/legacy_monoliths/_index.md,0,1.0,0,1.0,0,EXACT_NORMALIZED_MATCH,Content matches after normalization.
10_Qispark/10_QiOS/20_Rules-and-standards/1.40_RAG/bots/_index.md,593,18,df0a1915f94e6f1802bfffcab6b955c6a27f44809dc54b595fa3b357d01fcdb3,d3517191f568a345f8005da2ed97ced53aa8b3e6c068297f353fc999aa4375a3,False,False,,14,0.0,2,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/110_front_matter.md,11053,538,761202171d9f04f426c50d6423ea572fd4ecd6c45ae446cf3b371103e48c07d3,170b1ec74219e14ede70deef27a205ba0387c9afd7712c4170c954f637107897,False,False,,533,0.0,14,0.1429,1,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/130_placement_rules (2).md,3478,281,e3d00de27b6b65306174aa2f8e82891ec815b8767f2a089c7d9edcfad0b6d3a1,dcb05732f5a6ee6c3743a5d0da21bd945dfe2ed9ddc491e3f8356c8fba4d0a57,False,False,,276,0.0,7,0.0,3,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/130_placement_rules.md,3507,281,3ba5518f0544fdbd3d00b4ec670a69de6e99392ce9d76649ec1fc5e810ceaa08,e714a4a67c77b6dac0c60474f34b5c3e38d83c9a4c95afdba5a248bc2b4d7dce,False,False,,276,0.0,7,0.0,3,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/150_qievidence.md,3634,322,f52f7642f047c3b9f63fe0e779d98b80ce1614674a536bee174946edf0279f1b,bc35d2c012bafae7bb7f0abc2220add836d54069625ab9e8f696b2c8b8724f62,False,False,,317,0.0,6,0.3333,3,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/160_vectorization_pipeline.md,423,2,c07666ad7af5edd5b019df555fb1f2d29598832b2a1286a0239a950a8be4dafa,dfe7f40587100307ed72bf73efba9ffd8f8753f797591e37786af0eda0d5ccef,False,False,,1,0.0,1,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/20_glossary (2).md,2271,232,50fe9df512a572374adc64c0f468465d486748982b7948678581e482c8923d47,d74e8b19883f82048ff8fa7c9f13f63ed4fbaba9cae6490525cd634b2dd5278e,False,False,,228,0.0,4,0.0,3,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/20_glossary.md,2248,232,b439a88abb47c56b81e2839f8b20bc273599eaa93a3c4b53ff4fba087ee284b9,d74e8b19883f82048ff8fa7c9f13f63ed4fbaba9cae6490525cd634b2dd5278e,False,False,,228,0.0,4,0.0,3,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/_index (2).md,892,65,cba481389c05f19a1d534847b7f5a65e80c5a32809e4ff9e372a37f5fa5402fe,0837179469d323503e683797adb2432eda37d955b5d4d91910930c7139940793,False,False,,61,0.0,2,0.5,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/_index (3).md,4068,496,d9fdc4f90410044d998b54b06e1ca3c73e03963971fd46fae0fd656945790ca7,990c6b530d96b5aba3894d80db5080361182242b89232d56ac24454ae31edf68,False,False,,492,0.0041,24,0.0417,1,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/_index (4).md,4432,541,d8d193894cadf31ff54a5873f13a5ff3cfe1b3e1bd684106f6a09f4a6654b2e3,dcce743d697280b94a76a0900289e083784e3c2197df047fc5da711f89f030b1,False,False,,517,0.0039,24,0.0417,2,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/_index (5).md,983,73,6780d356e1a41c5e755a7d5b6c19084094464c0782fab9404a64f0a0352576df,069e55b1080f5811de7c75127141ef7c915b454995098930865cd9868dd89065,False,False,,69,0.0,3,0.3333,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/_index.md,544,24,1a4b5dcafe0e7e4e9b2efb4a66bda38a8c57c1c4aed379a138e6dc6f03b4497a,6655dd09a73f487de3b8eabe62e4f78d6ab483eb75ba3a47611df7c6301790aa,False,False,,20,0.0,2,0.5,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/Access_And_Exposure_Rules (2).md,3049,334,b142ec21c20f9d60aa67ee44cb9e3f6ac30a73b08d93e5f535bd2503fe829a61,1400078ee434136f75214fde3e15fb5de92ad4fbc3eefcb8b5909922d083981b,False,False,,326,0.0123,6,0.1667,3,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/Access_And_Exposure_Rules.md,3092,334,8c1932ec1ba0a96fe699511fe5ebe840a68633b05a03199726fdf5080d1dee4a,1400078ee434136f75214fde3e15fb5de92ad4fbc3eefcb8b5909922d083981b,False,False,,326,0.0123,6,0.1667,3,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/active_runtime_policy.md,761,60,bad564f895104a748eef5b2296fdb0db8ae45530264fc696aebf2d95c1e659b0,bf2fc8acf136c157bf53d6721ffe38370bc831a625f52db7d9f5f06808505bcf,False,False,,56,0.0,1,0.0,1,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/agent_governance_policy.md,723,46,80616a2efa9833a4ff1f7a45338ca70c1733bc0563ece601eda3d821ce6de2e3,a1a8a635dc806af13b49e48d6fbbaa0618be4619f18ca4fe681f6e42fa0a2205,False,False,,42,0.0,1,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/agent_rules.md,13877,1783,d8715a8d37894c072a930191c326f26f41f20ede96e224092a421cdb9a006b23,1cdb2fff2cc709f63278ef02438036dea52a30d8e7b8f35464c699f3c8fa599f,False,False,,1719,0.0006,41,0.0,9,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/agents/_index.md,490,13,c5e1ca65ae629d1a4d82ac6f961706a95d74be8608bda2d2fca6c35bd68f3456,993db1ac600b838f9454b09e3dd675377a57186fb44a3d910bd77f599d43df51,False,False,,9,0.0,2,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/agents/agent_governance_policy.md,764,46,6614affc5b16c2516e94031d4ac3a30cc8508c81dd7aa6b896b9cf4ff8c53298,a1a8a635dc806af13b49e48d6fbbaa0618be4619f18ca4fe681f6e42fa0a2205,False,False,,42,0.0,1,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/architecture/_index.md,649,30,170f039d534a9f7260f665b2ddff3779a956ca4955b57c80aa28ca9ba1a65659,4d78d58bc26f22e7fa76536aa6773c0742efd54dd9a36334b9a45fbdb71a310c,False,False,,26,0.0,2,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/architecture/active_runtime_policy.md,800,60,fbbcc3e4cb44035437b6780a1be63c20ca4f64b6de4b320593f93f1261d5cc6a,bf2fc8acf136c157bf53d6721ffe38370bc831a625f52db7d9f5f06808505bcf,False,False,,56,0.0,1,0.0,1,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/architecture/placement_policy.md,622,34,b95428aa38a025a7db508fe0649555a39a02c6e6c67102e6fc8238f314046f94,ba6f0571c0b456b97241998946d7e2785d10daa6e0b88ea8abae8dd68345d670,False,False,,30,0.0,1,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/architecture/registry_policy.md,659,35,70751d84ec7c3a79385b7c5d1ee962548926fb87a5e0a65db4599d1a03e61343,6739d4bc5cb4c790bfaffec5adbcf9182e3b88e1d76d8363391b63879f7f37ba,False,False,,31,0.0,1,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/architecture/root_navigation_policy.md,818,56,167fdeff33e70b8d4b0ab42150841978cbd6b606be77074a194b0cfc231c94af,d5aad9ad12471cfbe50958380d92f746a7c784c76112c48b5430287c974cc623,False,False,,52,0.0,1,0.0,1,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/bootstrap_policy.md,622,36,59e80beb220051f8eb96679bc4702b75b68cbe944b615f088e9075c58e291f6b,f5806ab08995bc78829a6575274151d9f4119d30ff4bf21e75ce82e1f9e1c478,False,False,,32,0.0,1,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/codex.md,7722,981,fa11853fc5dfa5841bbd70bde18ca6b7a4140ae6bcf60908e4e778773eb5aa3f,c01fdb0d5fbd5bd76e31b99cd898d57c28f1613842fb2d02e7dd5603514033e6,False,False,,977,0.0,21,0.0,7,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/contribution_policy.md,769,54,9c45f96413db508bfc8bdf8ccb629759d1fd769ea2816e8a58326a4a13699cad,6a9ac46fb3b0be0b16022a31fd9e8c84c7bc0d83810e4ebe613cd28eae0be819,False,False,,50,0.0,1,0.0,1,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/development/_index.md,580,21,4639cc79c0b0f5a9903a7f4d755f8f2a4b1516af9aedfc49c2b00cecd56a9f39,a3b796a48ea6115c1aadaa3ca59f22a89c143bef7435dff1f886768335f36f0b,False,False,,17,0.0,2,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/development/bootstrap_policy.md,656,36,720e2bf0edf7c6a45cf3fc76e17b4e0466440e0f4a438a87fdd518ad83b395a5,f5806ab08995bc78829a6575274151d9f4119d30ff4bf21e75ce82e1f9e1c478,False,False,,32,0.0,1,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/development/contribution_policy.md,806,54,a56ffd53afc1299b3ed6ead016051e81f9e26e57cbf1ced560e9908077e86570,6a9ac46fb3b0be0b16022a31fd9e8c84c7bc0d83810e4ebe613cd28eae0be819,False,False,,50,0.0,1,0.0,1,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/development/merge_policy.md,618,32,175785b5d0ee456eacb7bf8d80e5d641a683bcdc17b60a62a652e2b3a8b3f2a5,5137899d5d44f7a6a6e987142ceb1525653daedf7f216c44ce59509b8c83b6e4,False,False,,28,0.0,1,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/legacy_quarantine_policy.md,722,50,16b0020e251e5f30f7b1b0b5da68672d0cf66a0e10a23e2a9251e348e949ce24,d6cdfba73ec6f0c3d3df968b0e6948eb64d3a53e1f29a2d0766834f227023c6d,False,False,,46,0.0,1,0.0,1,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/lifecycle_policy.md,834,58,62c83b0d1c87b76e01e2ce337985d28b8cfb6a96ab64ff054532f6ac6f3bc87b,c9a7e19f6ee6facc8d554062de1cfa5e6b4b44d6517dc529e5967a53bd268508,False,False,,54,0.0,1,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/master_schema_governance (2).md,17942,1496,1fab49549de5d2bcba7007320d1fec04d53b67006b841fe053d900b8e930250c,c54f0d55da87000f1952d30333cd77630db2f6d110cb3a217746b681eeba36af,False,False,,1488,0.0,93,0.172,2,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/master_schema_governance.md,17890,1496,633eec53ba8a0be16caad68d7f0bf49f885f5f36220a242c34f3ff2d33061fd3,ba9cba9bb9276d321cceb87ba5eee54789661f0a069e1d8792afda5190164386,False,False,,1488,0.0,93,0.172,2,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/merge_policy.md,588,32,7c4c89ae75f512ed7b0cd0d8c4a868b49192d7900c8c54f07539bd32700e1a1c,5137899d5d44f7a6a6e987142ceb1525653daedf7f216c44ce59509b8c83b6e4,False,False,,28,0.0,1,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/operations/_index.md,623,28,8a0020d3655cb4ca88e4144b857431d89763ad66eef295fe04ad163dd7efb12a,2bae472a38bcca16259187865e81956e4a0799f6aae5e916c32174db6f39f591,False,False,,24,0.0,2,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/operations/legacy_quarantine_policy.md,764,50,53ea9958b1e8c1b8f0b3c537517308ac5de7aedcb10730ce42bdc04a54af5c0f,d6cdfba73ec6f0c3d3df968b0e6948eb64d3a53e1f29a2d0766834f227023c6d,False,False,,46,0.0,1,0.0,1,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/operations/lifecycle_policy.md,868,58,a8b89a11427e897378133d1260a8df9e091c6a3ead92fe69429653e9c51dcc95,c9a7e19f6ee6facc8d554062de1cfa5e6b4b44d6517dc529e5967a53bd268508,False,False,,54,0.0,1,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/operations/qinexus_freeze_policy.md,1142,91,5ec46a8c537c9ef1175166928a2dbb44b0574a93796a8fc0915581546cbf3c23,4de661e7847794bca66e0a4467acad6df7c7d3f857bb83da493fe87e7c855e0a,False,False,,87,0.0,2,0.0,1,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/placement_policy.md,588,34,27a09c9284b04dc88cb1257ceaff2014d3472169dadc32c9ebc46e1617d6ee17,ba6f0571c0b456b97241998946d7e2785d10daa6e0b88ea8abae8dd68345d670,False,False,,30,0.0,1,0.0,0,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
10_Qispark/10_QiOS/20_Rules-and-standards/policies.md,5130,634,01c57c3f6f7dd4c552f09bd12530e71c5c675a52cc350967c39768ca97032a6e,266e70aa2df9ca3132200396f3ac84a063d186fe5ffd3021017096a76d0f954d,False,False,,630,0.0,14,0.0,5,REVIEW_MISSING,Low coverage. Do not archive until reviewed or marked intentionally deprecated.
